Clase,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
Programa097,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa100,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa058,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa098,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa079,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa031,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa037,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa005,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa040,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa064,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa048,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa067,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa006,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa042,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa012,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa090,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa071,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa028,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa013,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa014,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa035,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa044,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa060,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa053,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa066,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa015,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa065,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa099,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa047,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa025,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa018,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa011,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa086,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa063,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa087,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa095,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa062,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa051,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa085,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa092,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa056,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa026,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa022,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa084,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa073,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa088,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa021,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa030,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa024,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa052,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa075,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa061,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa020,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa070,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa023,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa045,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa069,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa046,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa072,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa033,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa032,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa077,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa008,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa019,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa083,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
